month,year,section,commodity,vessels_current,vessels_prev_year,traffic_tonnes_current,traffic_tonnes_prev_year,pct_variation_yoy
February,2025,LOADED,IRON ORE,12.0,43.0,534824.0,168855.0,-50.37
February,2025,LOADED,OTH.LIQ.CARGOES,1.0,2.0,5513.0,0.0,101.12
February,2025,LOADED,OTHER CARGO,0.0,6.0,46.0,3069.0,-74.3
February,2025,LOADED,PETROCHEMICALS,1.0,32.0,23571.0,129334.0,28.24
February,2025,LOADED,POL PRODUCTS,15.0,124.0,640914.0,446603.0,19.03
February,2025,LOADED,TOTAL COAL,0.0,2.0,0.0,0.0,231.17
February,2025,UNLOADED,CONTAINER (JSW),15.0,159.0,90558.0,116258.0,-15.5
February,2025,UNLOADED,EDIBLE OIL,7.0,87.0,83431.0,88744.0,5.44
February,2025,UNLOADED,F.R.M. (DRY),0.0,3.0,0.0,0.0,25.72
February,2025,UNLOADED,FERTILIZER,0.0,19.0,0.0,11500.0,2.11
February,2025,UNLOADED,IRON ORE,3.0,35.0,220000.0,196200.0,-67.09
February,2025,UNLOADED,OTH. LIQ. CARGOES,13.0,126.0,68629.0,83413.0,-15.48
February,2025,UNLOADED,OTHER CARGO,3.0,64.0,8585.0,40124.0,-3.01
February,2025,UNLOADED,POL PRODUCTS,11.0,93.0,138426.0,144694.0,4.9
February,2025,UNLOADED,TOTAL CEMENT,3.0,21.0,46460.0,21021.0,-7.02
February,2025,UNLOADED,TOTAL COAL,12.0,125.0,816392.0,881732.0,5.66
February,2025,UNLOADED,TOTAL CRUDE,14.0,167.0,1473137.0,1680508.0,6.5
February,2025,UNLOADED,TOTAL LPG,11.0,151.0,229193.0,244278.0,-9.26
March,2025,LOADED,CONTAINER (JSW),6.0,100.0,106053.0,101815.0,-8.5
March,2025,LOADED,CRUDE - ISPRL,0.0,0.0,0.0,0.0,0.0
March,2025,LOADED,FOOD GRAINS,0.0,0.0,0.0,0.0,0.0
March,2025,LOADED,IRON ORE,2.0,44.0,59808.0,60008.0,-49.13
March,2025,LOADED,OTH.LIQ.CARGOES,2.0,3.0,10704.0,8481.0,76.05
March,2025,LOADED,OTHER CARGO,1.0,6.0,4073.0,55.0,-68.59
March,2025,LOADED,PETROCHEMICALS,3.0,35.0,24542.0,77640.0,19.98
March,2025,LOADED,POL PRODUCTS,13.0,138.0,632888.0,561000.0,18.36
March,2025,LOADED,TOTAL COAL,0.0,2.0,0.0,0.0,231.17
March,2025,UNLOADED,CONTAINER (JSW),19.0,177.0,115480.0,122459.0,-14.8
March,2025,UNLOADED,EDIBLE OIL,7.0,95.0,102561.0,81779.0,7.09
March,2025,UNLOADED,F.R.M. (DRY),0.0,4.0,0.0,11000.0,1.46
March,2025,UNLOADED,FERTILIZER,2.0,20.0,50257.0,4918.0,11.32
